1,Socio,Jose,2023-11-03 00:00:00,,123jose,
2,Cervezero,Mariano,2023-11-03 00:00:00,2023-11-20 00:00:00,123mariano,
3,Cervezero,Emanuel,2023-11-03 00:00:00,,123emanuel,
4,Cocinero,Luciana,2023-11-03 00:00:00,,123luciana,
5,Mozo,Estela,2023-11-03 00:00:00,,123estela,
6,Mozo,Lucas,2023-11-03 00:00:00,,123lucas,
7,Mozo,Viviana,2023-11-03 00:00:00,,123viviana,
8,Socio,Alberto Ramirez,2023-11-03 00:00:00,,123albert,
9,Cocinero,Blas,2023-11-03 00:00:00,,123blas,
10,Bartender,Romina,2023-11-03 00:00:00,,123romina,
11,Mozo,Julieta,2023-11-06 00:00:00,,123julieta,
12,socio,Rocio,2023-11-14 00:00:00,,123rocio,
13,Socio,Mariano,0000-00-00 00:00:00,,123Marian,
14,Candybar,Sofia,2023-11-15 00:00:00,,123sofia,
16,Cervezero,Gaston,2023-11-15 00:00:00,,123gaston,
17,Socio,admin,2023-11-15 00:00:00,,admin,
18,Bartender,Manuel Agustin,2023-11-27 00:00:00,2023-11-27 00:00:00,123manuelags,
